Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-01 00:00:00-04:00,50.09999847412109,50.86000061035156,46.29999923706055,47.38999938964844,2774900,0.0,0.0
2025-07-02 00:00:00-04:00,46.5099983215332,48.54999923706055,46.150001525878906,47.93999862670898,2516200,0.0,0.0
2025-07-03 00:00:00-04:00,48.5,50.709999084472656,48.470001220703125,50.130001068115234,1526300,0.0,0.0
2025-07-07 00:00:00-04:00,48.88999938964844,51.34000015258789,47.810001373291016,50.9900016784668,1733600,0.0,0.0
2025-07-08 00:00:00-04:00,51.72999954223633,55.68999862670898,49.75,50.970001220703125,2922400,0.0,0.0
2025-07-09 00:00:00-04:00,51.68999862670898,52.58000183105469,49.40999984741211,52.040000915527344,1640700,0.0,0.0
2025-07-10 00:00:00-04:00,53.130001068115234,53.86000061035156,50.470001220703125,52.70000076293945,1633900,0.0,0.0
2025-07-11 00:00:00-04:00,52.0,52.65999984741211,49.290000915527344,49.720001220703125,1630100,0.0,0.0
2025-07-14 00:00:00-04:00,49.43000030517578,50.58000183105469,47.31999969482422,50.34000015258789,1754500,0.0,0.0
2025-07-15 00:00:00-04:00,50.880001068115234,51.5,48.369998931884766,49.09999847412109,1651800,0.0,0.0
2025-07-16 00:00:00-04:00,49.540000915527344,50.84999847412109,47.68999862670898,49.84999847412109,2055400,0.0,0.0
2025-07-17 00:00:00-04:00,50.0,52.630001068115234,49.90999984741211,50.09999847412109,1925000,0.0,0.0
2025-07-18 00:00:00-04:00,50.540000915527344,51.290000915527344,48.43999862670898,49.27999877929688,1836100,0.0,0.0
2025-07-21 00:00:00-04:00,49.09999847412109,49.83000183105469,45.97999954223633,47.7400016784668,4088400,0.0,0.0
2025-07-22 00:00:00-04:00,46.90999984741211,47.11000061035156,44.25,46.43000030517578,2298000,0.0,0.0
2025-07-23 00:00:00-04:00,46.95000076293945,48.13999938964844,45.79999923706055,47.41999816894531,1629000,0.0,0.0
2025-07-24 00:00:00-04:00,48.45000076293945,48.45000076293945,46.25,46.310001373291016,1615000,0.0,0.0
2025-07-25 00:00:00-04:00,46.5,49.56999969482422,45.880001068115234,49.20000076293945,1832900,0.0,0.0
2025-07-28 00:00:00-04:00,50.0,50.59999847412109,48.20000076293945,49.45000076293945,1216900,0.0,0.0
2025-07-29 00:00:00-04:00,49.45000076293945,50.59999847412109,46.79999923706055,47.2400016784668,1922500,0.0,0.0
2025-07-30 00:00:00-04:00,47.59000015258789,49.75,47.5099983215332,48.4900016784668,2068700,0.0,0.0
2025-07-31 00:00:00-04:00,50.22999954223633,55.54999923706055,50.20000076293945,54.02000045776367,2547070,0.0,0.0
2025-08-01 00:00:00-04:00,45.52000045776367,49.650001525878906,44.0,44.959999084472656,7503000,0.0,0.0
