Date,Open,High,Low,Close,Volume
07/11/2025,"163.72","167.89","163.47","164.92","193,633,297"
07/10/2025,"164.32","164.50","161.61","164.10","167,704,094"
07/09/2025,"161.22","164.42","161.16","162.88","183,656,406"
07/08/2025,"159.33","160.22","158.39","160.00","138,132,984"
07/07/2025,"158.20","159.31","157.34","158.24","140,139,016"
07/03/2025,"158.37","160.98","157.77","159.34","143,716,094"
07/02/2025,"152.98","157.60","152.97","157.25","171,224,094"
07/01/2025,"156.29","157.20","151.49","153.30","213,143,594"
06/30/2025,"158.40","158.66","155.96","157.99","194,580,297"
06/27/2025,"156.04","158.71","155.26","157.75","263,234,500"
06/26/2025,"155.98","156.72","154.00","155.02","198,145,703"
06/25/2025,"149.27","154.45","149.26","154.31","269,146,500"
06/24/2025,"145.56","147.96","145.50","147.90","187,566,094"
06/23/2025,"142.50","144.78","142.03","144.17","154,308,891"
06/20/2025,"145.45","146.20","142.65","143.85","242,956,188"
06/18/2025,"144.01","145.65","143.12","145.48","161,494,094"
06/17/2025,"144.49","145.22","143.78","144.12","139,108,000"
06/16/2025,"143.35","146.18","143.20","144.69","183,133,703"
06/13/2025,"142.48","143.58","140.86","141.97","180,820,609"
06/12/2025,"141.97","145.00","141.85","145.00","162,364,984"
06/11/2025,"144.61","144.99","141.87","142.83","167,694,000"
06/10/2025,"142.69","144.29","141.53","143.96","155,881,906"
06/09/2025,"143.19","145.00","141.94","142.63","185,114,500"
06/06/2025,"142.51","143.27","141.51","141.72","153,986,203"
06/05/2025,"142.17","144.00","138.83","139.99","232,410,797"
06/04/2025,"142.19","142.39","139.55","141.92","167,120,797"
06/03/2025,"138.78","142.00","137.95","141.22","225,578,797"
06/02/2025,"135.49","138.12","135.40","137.38","197,663,109"
05/30/2025,"138.72","139.62","132.92","135.13","333,170,906"
05/29/2025,"142.25","143.49","137.91","139.19","370,615,188"
05/28/2025,"136.03","137.25","134.79","134.81","304,021,094"
